id,slug,name,stage,attribute,element,memory,base_hp,base_atk,base_def,base_sp_atk,base_sp_def,base_speed,skills,locations,evolves_to,devolves_to,notes
0017,palmon,Palmon,Rookie,Data,Plant,4,60,48,52,55,58,45,Poison Ivy;Root Breaker;Sleep Spore,Digital Park;Forest Path,"[{""target"":""togemon"",""req"":{""level"":15}}]","[{""target"":""tanemon""}]",Plant Digimon with tropical flower
0018,togemon,Togemon,Champion,Data,Plant,8,90,78,85,70,82,58,Needle Spray;Light Speed Jabbing;Coconut Punch,Forest Path;Tropical Jungle,"[{""target"":""lillymon"",""req"":{""level"":30}}]","[{""target"":""palmon""}]",Cactus Digimon with boxing gloves
0019,lillymon,Lillymon,Ultimate,Data,Plant,12,110,95,100,105,110,78,Flower Cannon;Flow' Cannon;Temptation,Tropical Jungle;Garden of Life,"[{""target"":""rosemon"",""req"":{""level"":45}}]","[{""target"":""togemon""}]",Fairy Digimon with flower powers
0020,rosemon,Rosemon,Mega,Data,Plant,20,132,115,110,125,128,88,Thorn Whip;Rose Spear;Forbidden Temptation,Garden of Life;Eternal Meadow,"[]","[{""target"":""lillymon""}]",Beautiful rose warrior Digimon
0021,bukamon,Bukamon,In-Training,Free,Neutral,2,33,24,18,25,28,35,Bubble Blow,Nursery Area,"[{""target"":""gomamon"",""req"":{""level"":6}}]",[],Sea creature In-Training
0022,gomamon,Gomamon,Rookie,Vaccine,Water,4,56,55,48,52,55,50,Marching Fishes;Sharp Edge;Fish Mist,Shibuya;Ocean Bay,"[{""target"":""ikkakumon"",""req"":{""level"":15}}]","[{""target"":""bukamon""}]",Aquatic seal Digimon
0023,ikkakumon,Ikkakumon,Champion,Vaccine,Water,8,86,88,80,72,75,62,Harpoon Torpedo;Heat Top;Icy Breath,Ocean Bay;Deep Sea,"[{""target"":""zudomon"",""req"":{""level"":30}}]","[{""target"":""gomamon""}]",Walrus Digimon with sharp horn
0024,zudomon,Zudomon,Ultimate,Vaccine,Water,12,106,112,102,90,95,72,Vulcan's Hammer;Horn Buster;Megaton Press,Deep Sea;Underwater Ruins,"[{""target"":""vikemon"",""req"":{""level"":45}}]","[{""target"":""ikkakumon""}]",Viking walrus with Thor's hammer
0025,vikemon,Vikemon,Mega,Vaccine,Water,20,133,130,125,102,112,78,Arctic Blizzard;Barehanded;Frozen Tundra,Underwater Ruins;Glacier Depths,"[]","[{""target"":""zudomon""}]",Ultimate viking beast warrior
0026,tokomon,Tokomon,In-Training,Free,Neutral,2,31,26,23,27,24,33,Bubble Blow,Nursery Area,"[{""target"":""patamon"",""req"":{""level"":6}}]",[],Small celestial In-Training
0027,patamon,Patamon,Rookie,Data,Light,4,54,50,50,58,55,55,Boom Bubble;Air Shot;Wing Slap,Shinjuku;Sky Garden,"[{""target"":""angemon"",""req"":{""level"":15}}]","[{""target"":""tokomon""}]",Flying mammal with angel powers
0028,angemon,Angemon,Champion,Vaccine,Light,8,84,82,78,88,85,68,Hand of Fate;Angel Rod;Heaven's Knuckle,Sky Garden;Cloud Sanctuary,"[{""target"":""magnaangemon"",""req"":{""level"":30}}]","[{""target"":""patamon""}]",Angel warrior with holy powers
0029,magnaangemon,MagnaAngemon,Ultimate,Vaccine,Light,12,104,100,95,110,105,80,Gate of Destiny;Magna Antidote;Soul Banish,Cloud Sanctuary;Heaven's Gate,"[{""target"":""seraphimon"",""req"":{""level"":45}}]","[{""target"":""angemon""}]",Archangel with divine powers
0030,seraphimon,Seraphimon,Mega,Vaccine,Light,20,130,118,108,128,125,92,Testament;Seven Heavens;Strike of the Seven Stars,Heaven's Gate;Holy Palace,"[]","[{""target"":""magnaangemon""}]",Supreme angel Digimon
0031,salamon,Salamon,Rookie,Vaccine,Light,4,50,54,52,56,58,58,Puppy Howling;Sledge Crash;Cure,Digital Park;Holy District,"[{""target"":""gatomon"",""req"":{""level"":14}}]",[],Holy puppy Digimon
0032,gatomon,Gatomon,Champion,Vaccine,Light,7,78,85,75,82,80,75,Lightning Paw;Cat's Eye Hypnotism;Neko Punch,Holy District;Light Temple,"[{""target"":""angewomon"",""req"":{""level"":28}}]","[{""target"":""salamon""}]",Holy cat Digimon with ring tail
0033,angewomon,Angewomon,Ultimate,Vaccine,Light,13,100,108,98,115,110,88,Celestial Arrow;Heaven's Charm;Holy Arrow,Light Temple;Angel Citadel,"[{""target"":""ophanimon"",""req"":{""level"":43}}]","[{""target"":""gatomon""}]",Female angel warrior Digimon
0034,ophanimon,Ophanimon,Mega,Vaccine,Light,22,126,122,112,132,128,98,Eden's Javelin;Sefirot Crystal;Holy Flame,Angel Citadel;Sacred Realm,"[]","[{""target"":""angewomon""}]",One of the three archangel Digimon
0035,demiveemon,DemiVeemon,In-Training,Free,Neutral,2,29,28,24,20,22,38,Hop Attack,Nursery Area,"[{""target"":""veemon"",""req"":{""level"":6}}]",[],Small dragon In-Training
0036,veemon,Veemon,Rookie,Free,Light,4,52,58,48,45,45,60,Vee Headbutt;Punch;Hopping Kick,Shibuya;Dragon Valley,"[{""target"":""exveemon"",""req"":{""level"":16}}]","[{""target"":""demiveemon""}]",Blue dragon Digimon
0037,exveemon,ExVeemon,Champion,Free,Light,8,80,92,72,68,70,70,Vee Laser;X-Antibody;Critical Crunch,Dragon Valley;Ancient Forest,"[{""target"":""paildramon"",""req"":{""level"":32}}]","[{""target"":""veemon""}]",Dragon warrior with enhanced power
0038,paildramon,Paildramon,Ultimate,Free,Light,14,100,115,92,95,88,85,Desperado Blaster;Cable Catcher;Elemental Laser,Ancient Forest;Digital Wasteland,"[{""target"":""imperialdramon"",""req"":{""level"":48}}]","[{""target"":""exveemon""}]",DNA Digimon fusion warrior
0039,imperialdramon,Imperialdramon,Mega,Free,Dark,22,125,138,118,112,105,82,Positron Laser;Mega Crusher;Splendor Blade,Digital Wasteland;Imperial Base,"[]","[{""target"":""paildramon""}]",Ancient dragon warrior emperor
0040,biyomon,Biyomon,Rookie,Vaccine,Wind,4,53,56,42,54,50,56,Spiral Twister;Pecking Attack;Firebird,Digital Park;Wind Valley,"[{""target"":""birdramon"",""req"":{""level"":15}}]",[],Bird Digimon with fire powers
0041,birdramon,Birdramon,Champion,Vaccine,Fire,8,83,88,70,85,75,72,Meteor Wing;Fire Flap;Phoenix Flame,Wind Valley;Volcano Peak,"[{""target"":""garudamon"",""req"":{""level"":30}}]","[{""target"":""biyomon""}]",Giant firebird Digimon
0042,garudamon,Garudamon,Ultimate,Vaccine,Fire,12,103,110,95,108,100,85,Wing Blade;Eagle Claw;Phoenix Claw,Volcano Peak;Sky Fortress,"[]","[{""target"":""birdramon""}]",Mythical bird warrior
0043,guilmon,Guilmon,Rookie,Virus,Fire,5,58,65,44,42,42,52,Pyro Sphere;Rock Breaker;Fire Ball,Shinjuku;Lava Cave,"[{""target"":""growlmon"",""req"":{""level"":16}}]",[],Virus-type dragon Digimon
0044,growlmon,Growlmon,Champion,Virus,Fire,9,88,98,75,65,68,65,Exhaust Flame;Dragon Slash;Plasma Blade,Lava Cave;Inferno Fields,"[{""target"":""wargrowlmon"",""req"":{""level"":32}}]","[{""target"":""guilmon""}]",Powerful demon dragon
0045,wargrowlmon,WarGrowlmon,Ultimate,Virus,Fire,13,108,122,98,88,92,75,Atomic Blaster;Radiation Blade;Plasma Destroyer,Inferno Fields;Chaos Crater,"[{""target"":""gallantmon"",""req"":{""level"":46}}]","[{""target"":""growlmon""}]",Cyborg dragon warrior
0046,gallantmon,Gallantmon,Mega,Virus,Light,21,129,136,115,106,110,90,Lightning Joust;Shield of the Just;Royal Saber,Chaos Crater;Knight's Domain,"[]","[{""target"":""wargrowlmon""}]",Royal knight Digimon
0047,terriermon,Terriermon,Rookie,Vaccine,Wind,4,51,52,50,50,52,60,Terrier Tornado;Bunny Blast;Blazing Fire,Shibuya;Wind Plains,"[{""target"":""gargomon"",""req"":{""level"":15}}]",[],Dog-like rabbit Digimon
0048,gargomon,Gargomon,Champion,Vaccine,Wind,8,81,90,76,72,74,68,Gargo Laser;Dumdum Upper;Bunny Pummel,Wind Plains;Combat Zone,"[{""target"":""rapidmon"",""req"":{""level"":30}}]","[{""target"":""terriermon""}]",Machine rabbit with guns
0049,rapidmon,Rapidmon,Ultimate,Vaccine,Wind,12,101,112,95,92,96,88,Rapid Fire;Golden Triangle;Homing Missile,Combat Zone;Missile Base,"[]","[{""target"":""gargomon""}]",Cyborg beast with missiles
0050,renamon,Renamon,Rookie,Data,Light,4,50,60,46,52,50,65,Diamond Storm;Power Paw;Rapid Kick,Digital Park;Shadow Forest,"[{""target"":""kyubimon"",""req"":{""level"":15}}]",[],Fox spirit Digimon
0051,kyubimon,Kyubimon,Champion,Data,Fire,8,80,92,74,82,78,75,Fox Tail Inferno;Dragon Wheel;Will-O-Wisp,Shadow Forest;Mystic Shrine,"[{""target"":""taomon"",""req"":{""level"":30}}]","[{""target"":""renamon""}]",Nine-tailed fox Digimon
0052,taomon,Taomon,Ultimate,Data,Light,12,100,108,92,110,105,85,Talisman of Light;Thousand Spells;Brush Stroke,Mystic Shrine;Temple Grounds,"[{""target"":""sakuyamon"",""req"":{""level"":45}}]","[{""target"":""kyubimon""}]",Mystic onmyouji Digimon
0053,sakuyamon,Sakuyamon,Mega,Data,Light,20,127,120,108,130,125,95,Spirit Strike;Amethyst Mandala;Crystal Sphere,Temple Grounds;Spirit Sanctuary,"[]","[{""target"":""taomon""}]",Priestess Digimon with divine power
0054,impmon,Impmon,Rookie,Virus,Dark,4,54,58,42,55,48,58,Summon;Badda Boom;Night of Fire,Shibuya;Dark Zone,"[{""target"":""devimon"",""req"":{""level"":15}},{""target"":""beelzemon"",""req"":{""level"":40}}]",[],Mischievous demon Digimon
0055,devimon,Devimon,Champion,Virus,Dark,8,82,90,68,85,72,70,Death Claw;Evil Wing;Touch of Evil,Dark Zone;Nightmare Realm,"[{""target"":""myotismon"",""req"":{""level"":30}}]","[{""target"":""impmon""}]",Fallen angel Digimon
0056,myotismon,Myotismon,Ultimate,Virus,Dark,13,102,110,88,108,95,82,Crimson Lightning;Grisly Wing;Nightmare Claw,Nightmare Realm;Vampire Castle,"[]","[{""target"":""devimon""}]",Vampire lord Digimon
0057,beelzemon,Beelzemon,Mega,Virus,Dark,21,128,140,110,115,105,92,Darkness Claw;Double Impact;Corona Destroyer,Dark Cathedral;Demon's Lair,"[]","[{""target"":""impmon""}]",Demon lord with motorcycle
0058,wormmon,Wormmon,Rookie,Free,Plant,4,56,48,55,50,58,42,Sticky Net;Silk Thread;Poison Powder,Digital Park;Bug Forest,"[{""target"":""stingmon"",""req"":{""level"":16}}]",[],Insect Digimon with loyalty
0059,stingmon,Stingmon,Champion,Free,Plant,9,84,95,80,75,82,78,Spiking Strike;Moon Shooter;Insect Plague,Bug Forest;Hive Colony,"[{""target"":""paildramon"",""req"":{""level"":32}}]","[{""target"":""wormmon""}]",Insect warrior with blade arms
0060,hawkmon,Hawkmon,Rookie,Free,Wind,4,52,54,48,52,54,56,Feather Strike;Beak Buzz;Wing Slap,Shibuya;Sky Plains,"[{""target"":""aquilamon"",""req"":{""level"":16}}]",[],Bird Digimon with gentleman demeanor
0061,aquilamon,Aquilamon,Champion,Free,Wind,8,82,88,76,78,80,72,Blast Rings;Grand Horn;Glide Horn,Sky Plains;Cloud City,"[{""target"":""silphymon"",""req"":{""level"":32}}]","[{""target"":""hawkmon""}]",Giant bird with powerful wings
0062,armadillomon,Armadillomon,Rookie,Free,Earth,4,60,56,58,46,56,44,Scratch Beat;Rolling Stone;Diamond Shell,Digital Park;Rocky Desert,"[{""target"":""ankylomon"",""req"":{""level"":16}}]",[],Armored beast Digimon
0063,ankylomon,Ankylomon,Champion,Free,Earth,9,90,86,92,68,85,55,Megaton Press;Tail Hammer;Armor Quake,Rocky Desert;Canyon Depths,"[{""target"":""shakkoumon"",""req"":{""level"":32}}]","[{""target"":""armadillomon""}]",Heavily armored dinosaur
